"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"10",608331,"Fried, Max","2021-07-05","91","11.0","1.000","0.500","1.000","1.500","1.060","0.545","0.513","4","4","100.6","-6.8","2389","85.1","85.45","1","6","4","0.4","6.29","89","136","102","134","300","320","279"
"10",663556,"McClanahan, Shane","2021-08-01","88","11.4","0.000","0.000","0.000","0.000","0.000","0.055","0.059","0","3","86.2","-3.7","2363","91.0","91.82","1","6","4","0.8","6.96","110","154","114","149","314","328","289"
"10",608331,"Fried, Max","2021-05-23","87","11.5","0.000","0.000","0.000","0.000","0.000","0.239","0.257","0","3","74.7","16.3","2273","86.2","86.09","2","6","4","-0.1","6.20","113","153","119","149","308","308","280"
"10",543135,"Eovaldi, Nathan","2021-07-01","84","11.9","0.000","0.000","0.000","0.000","0.000","0.107","0.119","0","3","87.8","2.0","2223","89.5","90.34","3","5","5","0.8","6.77","125","169","141","157","275","321","311"
"10",592836,"Walker, Taijuan","2021-08-25","74","13.5","0.000","0.000","0.000","0.000","0.000","0.098","0.108","0","3","84.2","30.3","1770","89.5","89.08","0","3","7","-0.4","5.84","120","181","104","154","310","337","302"
"10",543135,"Eovaldi, Nathan","2021-05-22","85","11.8","0.667","1.000","0.500","1.667","0.962","0.675","0.524","2","3","96.4","29.3","2064","91.4","91.92","0","6","4","0.5","6.69","126","165","118","154","286","329","298"
"10",621111,"Buehler, Walker","2021-08-31","92","10.9","0.250","0.000","0.250","0.250","0.220","0.508","0.457","1","4","89.8","21.5","2278","92.5","92.69","0","4","6","0.2","6.37","111","160","124","151","303","319","291"
"10",621111,"Buehler, Walker","2021-04-03","90","11.1","0.000","0.000","0.000","0.000","0.000","0.640","0.490","0","3","93.9","17.3","2699","90.3","91.17","0","4","6","0.9","6.37","113","158","109","149","312","348","301"
"10",621111,"Buehler, Walker","2021-04-16","93","10.8","0.000","0.000","0.000","0.000","0.000","0.258","0.282","0","3","78.8","-21.7","2910","86.2","85.84","4","8","2","-0.4","6.46","108","151","114","149","295","323","300"
"10",554430,"Wheeler, Zack","2021-08-13","94","10.6","0.250","0.750","0.000","1.000","0.502","0.527","0.371","1","4","86.5","33.7","2303","91.2","92.86","1","6","4","1.7","7.23","119","163","126","152","295","335","293"
"10",663556,"McClanahan, Shane","2021-07-03","71","14.1","0.500","0.500","0.500","1.000","0.644","0.508","0.417","1","2","99.0","19.5","2288","90.6","91.39","0","3","7","0.8","6.50","108","153","119","148","297","327","299"
"9",543135,"Eovaldi, Nathan","2021-04-30","91","9.9","0.000","0.000","0.000","0.000","0.000","0.133","0.145","0","3","86.1","19.0","2099","86.6","87.20","1","5","4","0.6","6.47","122","163","123","148","306","326","305"
